pattern_type,keywords
소매/유통,"가전제품,건강/기호식품,사무/교육용품,서적,도서,선물,완구,스포츠용품,레저용품,음/식료품소매,의복,의류,인테리어용품,가정용품,차량관리부품,차량판매,악기,공예,패션잡화,화장품소매,화장품,마트,백화점,슈퍼,슈퍼마켓,마켓,편의점,할인점,창고형,잡화,잡화점,문구,서점,다이소,이마트,홈플러스,롯데마트,gs25,cu,세븐일레븐,이마트24,쇼핑몰,상점"
생활서비스,"미용서비스,전문서비스,부동산,사우나,휴게시설,목욕탕,세탁서비스,가사서비스,수리서비스,연료판매,차량관리서비스,여행대행,유학대행,렌탈서비스,렌탈,무점포서비스,교통서비스,세탁,세탁소,수리,수리점,미용,미용실,헤어샵,헬스,헬스장,미용실,세차,세차장,주유,주유소,부동산,복덕방"
여가/오락,"숙박,요가,마사지,일반스포츠,스포츠,취미,오락,여가,노래방,PC방,당구,당구장,볼링,볼링장,스크린골프,골프장,영화관,넷플릭스,유튜브,멜론,스포츠,놀이공원,테마파크,동물원,아쿠아리움,워터파크"
식사,"고기요리,닭고기,오리고기,별식,퓨전요리,부페,뷔페,분식,양식,일식,수산물,중식,패스트푸드,한식,휴게소,대형업체,외식,식당,음식점,레스토랑,밥집,맛집,점심,저녁,한식,양식,중식,일식,패밀리 레스토랑,패스트푸드,식사,끼니"
의료/건강,"수의업,의약/의료품,일반병원,특화병원,종합병원,병원,약국,병원비,진료,진료비,건강검진,영양제,약값,치과,내과,외과,소아과,피부과,안과,정형외과,성형외과,한의원,물리치료,건강식품"
공연/전시,"전시,공연,전시장,공연관람,경기,경기관람,문화서비스,뮤지컬,연극,티켓,입장료,관람,관람료,박물관,미술과,갤러리"
전자상거래,"인터넷쇼핑,음식배달서비스,지그재그,29CM,무신사,eql,에이블리,배달의민족,쿠팡이츠,요기요,온라인,배달,모바일결제,앱결제,웹쇼핑,쿠팡,네이버페이,카카오페이,페이코,결제,온라인쇼핑"
디저트,"카페,커피,베이커리,빵집,디저트,케이크,음료,아이스크림,차,젤라또,제과,제빵,떡,케익,빵"
매일 소액 결제,"매일,매일같이,자주,일상,하루,데일리,꼬박꼬박,늘,항상,틈틈이,틈나는 대로"
월 1회 결제,"한 달에,월 1회,한번씩,한 달에 한 번,매달,정기적으로"
소액 결제,"만원,소액,간단,작은,천원,몇 천원,조금,소소하게,가볍게"
고액 결제,"백만원,고액,비싼,큰 금액,천만원,몇 백,몇 천,거액,억,거금,큼직하게"
고정비,"구독,월세,정기결제,보험,인터넷,관리비,통신비,자동이체,폰 요금,가스비,전기세,수도세,공과금"
변동비,"외식비,카페비,편의점,쇼핑,일시적,충동적,예상치 못한,갑작스러운,그때그때,유동적으로"
할부,"할부,분할납부,나누어서,여러 번에 걸쳐"
일시불,"일시불,한 번에,전액"
보상 소비,"스트레스,힐링,카페,쇼핑,간식,간식거리,달콤,위로,나 자신에게,고생한,수고한,기분 전환,힘든 날"
과시 소비,"명품,호텔,고급,비싼,브랜드,호캉스,파티,최고급,럭셔리,자랑,플렉스,flex,플랙스"
실속 소비,"할인,쿠폰,포인트,적립,가성비,세일,특가,공동구매,공구,최저가,1+1,반값,알뜰,실속있게"
즉흥 소비,"충동구매,필요없는데,생각없이,갑자기,충동,순간적으로,끌려서,우발적으로"
경험 소비,"여행,공연,전시,취미,레저,문화생활,경험,액티비티,체험,추억,활동"
관계 지향 소비,"선물,회식,모임,친구,가족,지인,경조사,경사,조사데이트,부모님,애인,동료"
동네 생활 소비형,"동네,주변,슈퍼,약국,마트,살림,집 근처,거주지 근처,주거 생활,식료품,슈퍼마켓,마켓,할인점,생활용품,필수품,동네 가게,가까운 곳"
종합 소비형,"종합,종합적,다양한,여러,여러 가지,일반적인,보통,전체적으로"
오프라인 올빼미형,"편의점,택시,늦은 시간,새벽,야식,술,밤 늦게,늦게,늦은밤,야간,심야"
외식 집중형,"외식,점심,저녁,한식,양식,맛집,식사 해결,직장 근처,회식,식당,외식비,식대"
온라인 온리형,"온라인,배달,모바일결제,앱결제,웹쇼핑,온라인 쇼핑,e커머스,인터넷 결제,스마트폰,앱으로"
헤비 드라이버형,"자동차,드라이브,주유,교통사고,정비,세차,하이패스,운전,카풀,주유비,주차비"
BMW형,"버스,지하철,전철,후불교통,뚜벅이,대중교통,정기권,교통비"
일상 소확행형,"여가,레저,문화,숙박,여행,외식,소확행,여유,소소한 행복,작은 기쁨"
워라밸 웰빙형,"휴가,여행,숙박,항공,휴식,공휴일,리조트,휴양지,웰빙,힐링,재충전,여가 시간"
레저 활동형,"등산,레저,헬스,당구,수영,운동,스포츠,취미생활,야외 활동,활동적인"
